Date,Week_Until_Race,Day_of_Week,Workout_Category,Original_Description,Total_Miles,E_Pace_Miles,M_Pace_Miles,T_Pace_Miles,I_Pace_Miles,R_Pace_Miles,Notes
2025-08-18,26,Monday,Rest,Rest,0.0,0,0,0,0,0,"Start of Austin Marathon Training Block"
2025-08-19,26,Tuesday,Easy,30 min E,3.5,3.5,0,0,0,0,"Focus on re-establishing routine. Run by effort."
2025-08-20,26,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,"Continue with off-season lifting"
2025-08-21,26,Thursday,Easy,30 min E w/ 4x100m strides,3.5,3.5,0,0,0,0,"Strides are gentle accelerations, not sprints"
2025-08-22,26,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-08-23,26,Saturday,Long,60 min E,7.0,7,0,0,0,0,"Keep it easy, focus on time on feet. Early morning start!"
2025-08-24,26,Sunday,Cross-Train,Cycling or Swimming,0.0,0,0,0,0,0,"60-90 minutes, low intensity"
2025-08-25,25,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-08-26,25,Tuesday,Q1,First Q Session: 2E + 2x(1T w/1 min rest) + 3x(1 min R w/2 min jg) + 1E,8.0,5.0,0,2.0,0,0.5,"Daniels' 2Q Plan Begins. Adjust paces for heat."
2025-08-27,25,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,"Recovery run"
2025-08-28,25,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-08-29,25,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-08-30,25,Saturday,Q2,Lesser of 12 miles (19km) & 90 min E,12.0,12,0,0,0,0,"Long run. Prioritize hydration."
2025-08-31,25,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,"Optional light recovery run or cross-train"
2025-09-01,24,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-02,24,Tuesday,Q1,30 min E + 8M,11.5,3.5,8,0,0,0,"First taste of Marathon pace. It will feel hard in the heat."
2025-09-03,24,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-04,24,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-05,24,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-06,24,Saturday,Q2,2E + 4x(1T w/1 min rest) + 2E,8.0,4,0,4,0,0,""
2025-09-07,24,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-08,23,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-09,23,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Week of easy runs"
2025-09-10,23,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-11,23,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-12,23,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-13,23,Saturday,Q2,Lesser of 13 miles (21km) & 90 min E,13.0,13,0,0,0,0,""
2025-09-14,23,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-09-15,22,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-16,22,Tuesday,Q1,1.0 Fraction of Peak Workout,10.0,10,0,0,0,0,"Easy Week"
2025-09-17,22,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-18,22,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-19,22,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-20,22,Saturday,Q2,Lesser of 14 miles (23km) & 2hr E,14.0,14,0,0,0,0,""
2025-09-21,22,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-09-22,21,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-23,21,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-09-24,21,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-25,21,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-26,21,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-27,21,Saturday,Q2,Lesser of 15 miles (24km) & 2hr E,15.0,15,0,0,0,0,""
2025-09-28,21,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-09-29,20,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-30,20,Tuesday,Q1,30 min E + 8M,11.5,3.5,8,0,0,0,""
2025-10-01,20,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-02,20,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-03,20,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-04,20,Saturday,Q2,2E + 4x(1T w/1 min rest) + 2E,8.0,4,0,4,0,0,""
2025-10-05,20,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-06,19,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-07,19,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-10-08,19,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-09,19,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-10,19,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-11,19,Saturday,Q2,Lesser of 14 miles (23km) & 2hr E,14.0,14,0,0,0,0,""
2025-10-12,19,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-10-13,18,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-14,18,Tuesday,Q1,3E + 10M,13.0,3,10,0,0,0,""
2025-10-15,18,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-16,18,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-17,18,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-18,18,Saturday,Q2,2E + 2x(1T w/1 min rest) + 3x(1 min R w/2 min jg) + 1E,8.0,5,0,2,0,0.5,""
2025-10-19,18,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-20,17,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-21,17,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-10-22,17,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-23,17,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-24,17,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-25,17,Saturday,Q2,Lesser of 15 miles (24km) & 2hr E,15.0,15,0,0,0,0,""
2025-10-26,17,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-10-27,16,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-10-28,16,Tuesday,Q1,2E + 2T + 1T w/1 min rest,6.0,2,0,3,0,0,""
2025-10-29,16,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-30,16,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-10-31,16,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-01,16,Saturday,Q2,2E + 4x(1T w/1 min rest) + 2E,8.0,4,0,4,0,0,""
2025-11-02,16,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-03,15,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-04,15,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-11-05,15,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-06,15,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-07,15,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-08,15,Saturday,Q2,Lesser of 14 miles (23km) & 2hr E,14.0,14,0,0,0,0,""
2025-11-09,15,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-11-10,14,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-11,14,Tuesday,Q1,20 min E + 12M,14.5,2.5,12,0,0,0,""
2025-11-12,14,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-13,14,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-14,14,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-15,14,Saturday,Q2,2E + 2x(1T w/1 min rest) + 3x(1 min R w/2 min jg) + 1E,8.0,5,0,2,0,0.5,""
2025-11-16,14,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-17,13,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-18,13,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-11-19,13,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-20,13,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-21,13,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-22,13,Saturday,Q2,Lesser of 15 miles (24km) & 2hr E,15.0,15,0,0,0,0,""
2025-11-23,13,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-11-24,12,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-25,12,Tuesday,Q1,20 min E + 15M,17.5,2.5,15,0,0,0,""
2025-11-26,12,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-11-27,12,Thursday,Easy,45 min E,5.0,5,0,0,0,0,"Thanksgiving - run early!"
2025-11-28,12,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-11-29,12,Saturday,Q2,2E + 4x(1T w/1 min rest) + 2E,8.0,4,0,4,0,0,""
2025-11-30,12,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-01,11,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-02,11,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-12-03,11,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-04,11,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-05,11,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-06,11,Saturday,Q2,Lesser of 14 miles (23km) & 2hr E,14.0,14,0,0,0,0,""
2025-12-07,11,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-12-08,10,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-09,10,Tuesday,Q1,30 min E + 10M,13.5,3.5,10,0,0,0,""
2025-12-10,10,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-11,10,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-12,10,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-13,10,Saturday,Q2,2E + 2x(1T w/1 min rest) + 3x(1 min R w/2 min jg) + 1E,8.0,5,0,2,0,0.5,""
2025-12-14,10,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-15,9,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-16,9,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-12-17,9,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-18,9,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-19,9,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-20,9,Saturday,Q2,Lesser of 15 miles (24km) & 2hr E,15.0,15,0,0,0,0,""
2025-12-21,9,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2025-12-22,8,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-23,8,Tuesday,Q1,30 min E + 8M,11.5,3.5,8,0,0,0,""
2025-12-24,8,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-25,8,Thursday,Easy,45 min E,5.0,5,0,0,0,0,"Christmas Day"
2025-12-26,8,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-27,8,Saturday,Q2,2E + 4x(1T w/1 min rest) + 2E,8.0,4,0,4,0,0,""
2025-12-28,8,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-12-29,7,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-12-30,7,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2025-12-31,7,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,"New Year's Eve"
2026-01-01,7,Thursday,Easy,45 min E,5.0,5,0,0,0,0,"New Year's Day"
2026-01-02,7,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-03,7,Saturday,Q2,Lesser of 15 miles (24km) & 100 min,15.0,15,0,0,0,0,""
2026-01-04,7,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2026-01-05,6,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-06,6,Tuesday,Q1,No Q Session,8.0,8,0,0,0,0,"Easy Week"
2026-01-07,6,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-08,6,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-09,6,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-10,6,Saturday,Q2,Lesser of 13 miles (21km) & 90 min,13.0,13,0,0,0,0,""
2026-01-11,6,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2026-01-12,5,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-13,5,Tuesday,Q1,2E + 2T + 1T w/1 min rest,6.0,2,0,3,0,0,""
2026-01-14,5,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-15,5,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-16,5,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-17,5,Saturday,Q2,2E + 2x(1T w/1 min rest) + 3x(1 min R w/2 min jg) + 1E,8.0,5,0,2,0,0.5,""
2026-01-18,5,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-19,4,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-20,4,Tuesday,Q1,60 min E,7.0,7,0,0,0,0,"Taper Week 1"
2026-01-21,4,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-22,4,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-23,4,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-24,4,Saturday,Q2,Lesser of 12 miles (19km) & 90 min,12.0,12,0,0,0,0,""
2026-01-25,4,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2026-01-26,3,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-27,3,Tuesday,Q1,20 min E + 8M,10.5,2.5,8,0,0,0,""
2026-01-28,3,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-29,3,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-01-30,3,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-01-31,3,Saturday,Q2,2E + 3x(1T w/1 min rest) + 1E,7.0,3,0,3,0,0,""
2026-02-02,2,Monday,Rest,Rest,0.0,0,0,0,0,0,"Taper Week 2"
2026-02-03,2,Tuesday,Q1,7 days: 90 min E,10.0,10,0,0,0,0,""
2026-02-04,2,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-02-05,2,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-02-06,2,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-02-07,2,Saturday,Q2,6 days: 60 min E,7.0,7,0,0,0,0,""
2026-02-08,2,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2026-02-09,1,Monday,Rest,Rest,0.0,0,0,0,0,0,"Final week before Austin Marathon"
2026-02-10,1,Tuesday,Easy,30 min E,3.0,3,0,0,0,0,"Shakeout"
2026-02-11,1,Wednesday,Q2,2E + 3x(1T w/2 min rests) + 2E,7.0,4,0,3,0,0,"Final light workout"
2026-02-12,1,Thursday,Easy,20 min E,2.0,2,0,0,0,0,"Very light shakeout"
2026-02-13,1,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-02-14,1,Saturday,Easy,15-20 min E with a few strides,2.0,2,0,0,0,0,"Stay loose"
2026-02-15,0,Sunday,RACE,Austin Marathon,26.2,0,26.2,0,0,0,"Race Day! Trust your training."
2026-02-16,-1,Monday,Rest,Rest,0.0,0,0,0,0,0,"Post-Marathon Recovery Week 1"
2026-02-17,-1,Tuesday,Rest,Rest,0.0,0,0,0,0,0,""
2026-02-18,-1,Wednesday,Cross-Train,Light walk or swim,0.0,0,0,0,0,0,"Focus on mobility"
2026-02-19,-1,Thursday,Rest,Rest,0.0,0,0,0,0,0,""
2026-02-20,-1,Friday,Cross-Train,Light walk or swim,0.0,0,0,0,0,0,""
2026-02-21,-1,Saturday,Easy,15-20 min very slow jog,2.0,2,0,0,0,0,"First run back, if you feel up to it"
2026-02-22,-1,Sunday,Rest,Rest,0.0,0,0,0,0,0,""
2026-02-23,-2,Monday,Rest,Rest,0.0,0,0,0,0,0,"Post-Marathon Recovery Week 2"
2026-02-24,-2,Tuesday,Easy,20-30 min E,3.0,3,0,0,0,0,"Keep it very easy"
2026-02-25,-2,Wednesday,Cross-Train,Cycling or Swimming,0.0,0,0,0,0,0,""
2026-02-26,-2,Thursday,Easy,20-30 min E,3.0,3,0,0,0,0,""
2026-02-27,-2,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-02-28,-2,Saturday,Easy,30-40 min E,4.0,4,0,0,0,0,""
2026-03-01,-2,Sunday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-02,-3,Monday,Rest,Rest,0.0,0,0,0,0,0,"Begin Base Building for Spring '26 Challenge"
2026-03-03,-3,Tuesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-03-04,-3,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,""
2026-03-05,-3,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-03-06,-3,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-07,-3,Saturday,Long,90 min E on trails,9.0,9,0,0,0,0,"Start introducing trail running"
2026-03-08,-3,Sunday,Easy,30 min E,3.0,3,0,0,0,0,"Back-to-back simulation starts"
2026-03-09,-4,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-10,-4,Tuesday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-03-11,-4,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,""
2026-03-12,-4,Thursday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-03-13,-4,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-14,-4,Saturday,Long,12 miles (road),12.0,12,0,0,0,0,"Simulate Day 1"
2026-03-15,-4,Sunday,Long,6 miles (trail),6.0,6,0,0,0,0,"Simulate Day 2 on tired legs"
2026-03-16,-5,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-17,-5,Tuesday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-03-18,-5,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,""
2026-03-19,-5,Thursday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-03-20,-5,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-21,-5,Saturday,Long,14 miles (road),14.0,14,0,0,0,0,""
2026-03-22,-5,Sunday,Long,7 miles (trail),7.0,7,0,0,0,0,""
2026-03-23,-6,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-24,-6,Tuesday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-03-25,-6,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,""
2026-03-26,-6,Thursday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-03-27,-6,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-28,-6,Saturday,Long,16 miles (road),16.0,16,0,0,0,0,""
2026-03-29,-6,Sunday,Long,8 miles (trail),8.0,8,0,0,0,0,""
2026-03-30,-7,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-03-31,-7,Tuesday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-04-01,-7,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,""
2026-04-02,-7,Thursday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-04-03,-7,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-04,-7,Saturday,Long,18 miles (road),18.0,18,0,0,0,0,""
2026-04-05,-7,Sunday,Long,9 miles (trail),9.0,9,0,0,0,0,""
2026-04-06,-8,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-07,-8,Tuesday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-04-08,-8,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,""
2026-04-09,-8,Thursday,Easy,60 min E,7.0,7,0,0,0,0,""
2026-04-10,-8,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-11,-8,Saturday,Long,20 miles (road),20.0,20,0,0,0,0,"Peak Week"
2026-04-12,-8,Sunday,Long,10 miles (trail),10.0,10,0,0,0,0,"Peak Week"
2026-04-13,-9,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-14,-9,Tuesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-04-15,-9,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,""
2026-04-16,-9,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-04-17,-9,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-18,-9,Saturday,Long,16 miles (road),16.0,16,0,0,0,0,""
2026-04-19,-9,Sunday,Long,8 miles (trail),8.0,8,0,0,0,0,""
2026-04-20,-10,Monday,Rest,Rest,0.0,0,0,0,0,0,"Taper for Back-to-Back"
2026-04-21,-10,Tuesday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-04-22,-10,Wednesday,Strength,Light Strength Training,0.0,0,0,0,0,0,""
2026-04-23,-10,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2026-04-24,-10,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-25,-10,Saturday,Long,12 miles (road),12.0,12,0,0,0,0,""
2026-04-26,-10,Sunday,Long,6 miles (trail),6.0,6,0,0,0,0,""
2026-04-27,-11,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-28,-11,Tuesday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2026-04-29,-11,Wednesday,Rest,Rest,0.0,0,0,0,0,0,""
2026-04-30,-11,Thursday,Easy,30 min E,3.5,3.5,0,0,0,0,""
2026-05-01,-11,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-05-02,-11,Saturday,Long,8 miles (road),8.0,8,0,0,0,0,""
2026-05-03,-11,Sunday,Long,4 miles (trail),4.0,4,0,0,0,0,""
2026-05-04,-12,Monday,Rest,Rest,0.0,0,0,0,0,0,"Race Week"
2026-05-05,-12,Tuesday,Easy,20 min E,2.0,2,0,0,0,0,""
2026-05-06,-12,Wednesday,Rest,Rest,0.0,0,0,0,0,0,""
2026-05-07,-12,Thursday,Easy,20 min E w/ strides,2.0,2,0,0,0,0,""
2026-05-08,-12,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2026-05-09,-12,Saturday,Easy,15 min E,1.5,1.5,0,0,0,0,""
2026-05-10,-12,Sunday,Rest,Rest,0.0,0,0,0,0,0,""
2026-05-11,-13,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2026-05-12,-13,Tuesday,Easy,15 min E,1.5,1.5,0,0,0,0,""
2026-05-13,-13,Wednesday,Rest,Rest,0.0,0,0,0,0,0,""
2026-05-14,-13,Thursday,Rest,Rest,0.0,0,0,0,0,0,"Travel / Rest"
2026-05-15,-,Friday,RACE,Spring '26 Marathon Day 1,26.2,0,26.2,0,0,0,"Focus on conservative pacing"
2026-05-16,-,Saturday,RACE,Spring '26 Trail Run Day 2,26.2,26.2,0,0,0,0,"Focus on completion and enjoying the trails"
